ID,Label,Part,Coef,col,abs_coef
Lactobacillus.rogosae,Lactobacillus.rogosae,Lactobacillus.rogosae,-0.00875636687237362,Control,0.00875636687237362
Bifidobacterium.adolescentis,Bifidobacterium.adolescentis,Bifidobacterium.adolescentis,-0.03784607091306304,Control,0.03784607091306304
Enterococcus.faecalis,Enterococcus.faecalis,Enterococcus.faecalis,0.012899998705707289,CRC,0.012899998705707289
Firmicutes.bacterium.CAG.238,Firmicutes.bacterium.CAG.238,Firmicutes.bacterium.CAG.238,-0.002746983725006303,Control,0.002746983725006303
Streptococcus.infantis,Streptococcus.infantis,Streptococcus.infantis,-0.021678896105428263,Control,0.021678896105428263
Clostridium.leptum,Clostridium.leptum,Clostridium.leptum,0.08172515556835763,CRC,0.08172515556835763
Actinomyces.sp.oral.taxon.181,Actinomyces.sp.oral.taxon.181,Actinomyces.sp.oral.taxon.181,2.2712307267343614e-4,CRC,2.2712307267343614e-4
Streptococcus.gordonii,Streptococcus.gordonii,Streptococcus.gordonii,-0.0033794685257952026,Control,0.0033794685257952026
Bifidobacterium.bifidum,Bifidobacterium.bifidum,Bifidobacterium.bifidum,-0.1168336019646975,Control,0.1168336019646975
Megasphaera.micronuciformis,Megasphaera.micronuciformis,Megasphaera.micronuciformis,-0.048001038848900036,Control,0.048001038848900036
Streptococcus.thermophilus,Streptococcus.thermophilus,Streptococcus.thermophilus,-0.09649727147325322,Control,0.09649727147325322
Streptococcus.anginosus.group,Streptococcus.anginosus.group,Streptococcus.anginosus.group,0.06954367972749849,CRC,0.06954367972749849
Clostridium.aldenense,Clostridium.aldenense,Clostridium.aldenense,-0.16005309054933894,Control,0.16005309054933894
Parasutterella.excrementihominis,Parasutterella.excrementihominis,Parasutterella.excrementihominis,-0.03008491865332797,Control,0.03008491865332797
Lawsonibacter.asaccharolyticus,Lawsonibacter.asaccharolyticus,Lawsonibacter.asaccharolyticus,-0.029622476544431904,Control,0.029622476544431904
